0A_Voltage,0A_Current,0B_Voltage,0B_Current
+0.0004,-0.0004,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0001
+0.0004,-0.0001,+0.0039,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0003,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0038,+0.0000
+0.0004,-0.0001,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0001,+0.0039,+0.0002
+0.0003,-0.0002,+0.0038,+0.0001
+0.0003,-0.0003,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0002
+0.0004,-0.0001,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0039,+0.0001
+0.0002,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0037,+0.0000
+0.0005,-0.0003,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0003,+0.0038,+0.0001
+0.0004,-0.0003,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0006,-0.0002,+0.0038,+0.0001
+0.0004,-0.0001,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0003,-0.0001,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,-0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0003,+0.0038,+0.0001
+0.0003,-0.0003,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0003,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0003,-0.0001,+0.0038,+0.0001
+0.0004,-0.0001,+0.0038,+0.0001
+0.0003,-0.0002,+0.0037,+0.0002
+0.0003,-0.0001,+0.0038,+0.0000
+0.0004,-0.0001,+0.0037,+0.0000
+0.0004,-0.0003,+0.0038,+0.0000
+0.0003,-0.0003,+0.0038,+0.0000
+0.0003,-0.0002,+0.0038,+0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0004,-0.0001,+0.0038,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0005,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0037,-0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0000
+0.0003,-0.0003,+0.0037,+0.0001
+0.0004,-0.0003,+0.0038,+0.0000
+0.0005,-0.0002,+0.0038,+0.0000
+0.0003,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0039,+0.0000
+0.0003,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0003,-0.0002,+0.0037,-0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0002,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0002
+0.0004,-0.0001,+0.0039,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0004,-0.0001,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0003,-0.0002,+0.0037,+0.0001
+0.0002,-0.0002,+0.0037,+0.0001
+0.0002,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0001
+0.0003,-0.0001,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0005,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0002,-0.0003,+0.0038,+0.0000
+0.0002,-0.0003,+0.0038,+0.0001
+0.0003,-0.0002,+0.0037,+0.0001
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0002,-0.0003,+0.0038,+0.0001
+0.0003,-0.0001,+0.0037,+0.0000
+0.0004,-0.0001,+0.0038,+0.0000
+0.0005,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0003,+0.0037,+0.0001
+0.0003,-0.0001,+0.0038,+0.0001
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0001
+0.0005,-0.0001,+0.0039,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0002
+0.0004,-0.0002,+0.0037,+0.0002
+0.0004,-0.0001,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0038,+0.0000
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0037,+0.0002
+0.0002,-0.0001,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0003,-0.0003,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0003,-0.0003,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0000
+0.0005,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0002,-0.0003,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0002,-0.0001,+0.0037,+0.0000
+0.0010,-0.0003,+0.0037,+0.0000
+0.0004,-0.0004,+0.0037,+0.0001
+0.0004,-0.0003,+0.0037,+0.0000
+0.0000,+0.0000,+0.0038,+0.0000
+0.0005,-0.0001,+0.0037,+0.0000
+0.0000,+0.0000,+0.0038,+0.0001
+0.0007,-0.0003,+0.0038,+0.0000
+0.0014,-0.0003,+0.0037,+0.0000
+0.0011,-0.0002,+0.0038,+0.0001
+0.0000,-0.0001,+0.0037,+0.0000
-0.0001,-0.0002,+0.0039,+0.0000
+0.0003,-0.0003,+0.0037,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0003,+0.0037,+0.0000
+0.0002,-0.0002,+0.0037,+0.0000
+0.0003,-0.0001,+0.0038,+0.0000
+0.0003,-0.0003,+0.0038,-0.0001
+0.0003,-0.0002,+0.0038,+0.0001
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0003,+0.0038,-0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0001,+0.0038,+0.0000
+0.0004,-0.0001,+0.0038,+0.0000
+0.0004,-0.0003,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0003,-0.0003,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,-0.0001
+0.0004,-0.0001,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0002
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0001
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0001,+0.0038,+0.0000
+0.0004,-0.0001,+0.0038,+0.0001
+0.0004,-0.0003,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0038,+0.0001
+0.0003,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0001,+0.0038,+0.0001
+0.0004,-0.0002,+0.0038,+0.0000
+0.0004,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0003,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0003,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0004,-0.0002,+0.0037,+0.0001
+0.0004,-0.0002,+0.0037,+0.0000
+0.0002,-0.0002,+0.0037,+0.0000
+0.0003,-0.0002,+0.0037,+0.0000
+0.0004,-0.0001,+0.0037,+0.0000
+0.0004,-0.0003,+0.0038,+0.0001
+0.0004,-0.0002,+0.0037,+0.0001
